com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230302.11525.0.15e10bbc		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230303.11529.0.8f50d205		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230306.11532.0.39d816f6		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230307.11536.0.27530a71		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230308.11548.0.7ff4ab08		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230310.11559.0.1b5778ea		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230310.11563.0.861d9175		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230313.11568.0.1b014ae4		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230315.11583.0.81107ff8		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230316.11589.0.d2664edb		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230317.11591.0.4df21fe6		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230320.11596.0.44b43a4d		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230321.11602.0.b967ef3e		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230323.11604.0.6a3a7a84		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230323.11608.0.4298cde9		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230327.11609.0.7f6b1fe3		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230327.11615.0.9aa586fb		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230328.11617.0.b5441712		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230329.11623.0.f3943c45		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230331.11632.0.182d8a85		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230331.11634.0.c20fc05d		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230403.11641.0.1a58e9aa		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230405.11650.0.a54de395		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230406.11654.0.15ee6823		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230410.11658.0.36a5d263		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230411.11665.0.3850f7fe		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230413.11667.0.ef732d7e		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230413.11674.0.48ba9b24		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230414.11676.0.fdd7a7cb		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230417.11682.0.ac68bdf4		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230418.11687.0.a8079fbc		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230419.11691.0.9a933587		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230420.11697.0.b149ffa8		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230421.11704.0.f2721a04		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230423.11705.0.637b187a		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230424.11710.0.2f27f987		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230425.11718.0.4ace70f7		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230426.11722.0.dc40709e		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230427.11728.0.1f3c22cf		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230502.11737.0.eb537914		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230503.11744.0.01cfae4e		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230504.11748.0.af51d660		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230508.11759.0.eaffc65c		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230509.11761.0.576d5054		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230511.11777.0.5637a2e5		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230512.11778.0.b2eb3224		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230513.11779.0.575b0e07		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230515.11783.0.36293a4e		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230516.11789.0.f88812f0		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230517.11796.0.195ef9a9		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230518.11799.0.50b2c595		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230522.11805.0.b55d80a8		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230523.11810.0.06abd5c6		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230524.11815.0.v0ef6fea1		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230525.11820.0.v8d0357ce		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230527.11826.0.v8fe0d7ed		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230529.11827.0.v3fbe7d01		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230530.11837.0.v17ce9a23		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230531.11844.0.vd692e587		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230601.11846.0.vde6f31c4		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230602.11847.0.vcfc499fb		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230604.11848.0.v9f55d679		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230605.11853.0.v39f331ec		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230607.11854.0.v1f351b41		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230607.11858.0.v9d228985		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230608.11861.0.v010304cc		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230609.11862.0.v23cb9e28		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230612.11864.0.v3514a4a0		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230613.11870.0.v2c53e5a6		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230614.11876.0.vde1627cd		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230615.11878.0.v96199179		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230616.11885.0.v4754806f		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230619.11890.0.vedd1a5f6		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230620.11897.0.v4bbf8f89		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230621.11902.0.v469b78a6		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230622.11906.0.vbce77265		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230623.11907.0.vbba55448		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230626.11909.0.v5979774e		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230627.11913.0.v321b6593		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230628.11919.0.v473b7750		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230629.11924.0.v95dd64bc		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230630.11927.0.v8a3a7d20		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230702.11928.0.v9cbe57b0		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230703.11931.0.vc04c7ac9		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230705.11934.0.v088aa027		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230706.11941.0.v242fe0f4		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230710.11943.0.v20c0149b		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230711.11951.0.v6dbda0a7		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230712.11961.0.vb9f6d3ea		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230713.11965.0.ve04dfb5f		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230714.11969.0.v2612f6cb		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230717.11972.0.vc71b781c		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230719.11977.0.vc6dc7db5		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230719.11983.0.vd999a21a		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230804.11989.0.vc0014b93		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.0-snapshot.20230808.11990.0.vb6c93df1		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.1		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.1-rc1		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.1-rc2		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.2		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.2-rc1		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.3		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.4		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.5		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.6		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.6-snapshot.20231101.11997.0.v3b7c9391		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.7		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.8		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.8-snapshot.20240311.12004.0.v4b8e05d5		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.8-snapshot.20240311.12004.1.v4b8e05d5		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.8-snapshot.20240312.12005.0.v28ce731b		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.9		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.7.9-snapshot.20240319.12006.0.v39d93fa1		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0		45005435a706113f2f4ef2d77de13fc4a65e194a
com.daml	daml-lf-snapshot-java-proto	2.8.0-adhoc.20240328.12431.0.v46cdf7dd		45005435a706113f2f4ef2d77de13fc4a65e194a
com.daml	daml-lf-snapshot-java-proto	2.8.0-adhoc.20240328.12431.0.vf144d058		45005435a706113f2f4ef2d77de13fc4a65e194a
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230720.11990.0.v5d026ac9		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230721.11992.0.v25c60bf8		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230724.11994.0.v235abfa8		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230725.11996.0.vaecf70c9		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230727.11999.0.v47d21fe7		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230727.12002.0.v777779f3		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230728.12008.0.v37966876		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230731.12009.0.v4c813431		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230802.12010.0.vf4ac160a		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230804.12012.0.v23b8eaae		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230805.12013.0.vd2bdda38		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230806.12014.0.v2f4b494f		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230807.12017.0.v7ba1e675		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230808.12020.0.v49293656		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230809.12028.0.v4b60e35a		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230810.12032.0.v59793ce5		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230811.12033.0.v2aad9b4e		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230814.12037.0.vaaaf60af		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230815.12041.0.v923bd500		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230816.12044.0.v16728b65		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230817.12046.0.v444266ed		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230818.12049.0.vab038ab0		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230821.12054.0.v9f9ecb20		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230822.12060.0.v9179b2e7		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230823.12068.0.v4b8e9367		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230824.12072.0.v1a771dcb		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230828.12078.0.v99f466d4		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230829.12080.0.v62c98645		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230830.12083.0.v20330329		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230831.12086.0.v2d3ac273		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230901.12089.0.v6ae0e011		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230904.12091.0.v430b8cec		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230906.12097.0.v675a325c		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230907.12098.0.v0cac8c29		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230908.12101.0.v1bee52e4		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230909.12102.0.vda08791d		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230911.12104.0.ve4ea879c		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230911.12106.0.v5acb02dc		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230912.12110.0.v788fccd9		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230913.12113.0.vf71b764f		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230914.12117.0.v2dbfb680		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230918.12124.0.v82655f2f		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230919.12129.0.v37ffc7dd		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230920.12134.0.v84ca088b		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230921.12138.0.vb041421f		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230922.12143.0.vb3bd9ad0		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230925.12146.0.v5ac74bc8		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230926.12151.0.vc0a18eeb		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230927.12158.0.vb863e65a		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230928.12164.0.ve6bf0171		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20230929.12167.0.v44c0c51b		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231002.12168.0.v41cb4329		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231003.12170.0.vfead01dd		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231004.12173.0.v39440539		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231005.12176.0.vfedcb135		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231006.12179.0.va01e862b		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231009.12181.0.v623a064c		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231010.12182.0.v1f31feac		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231011.12192.0.v49271830		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231012.12200.0.v80a243e9		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231016.12209.0.v28eadc6e		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231017.12216.0.vfaa52177		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231018.12220.0.v6a9168e1		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231020.12229.0.v174098ad		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231020.12235.0.va35c8e27		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231023.12243.0.v14f9f58d		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231025.12256.0.v14d06bca		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231025.12257.0.v422b6934		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231026.12262.0.vb12eb2ad		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231027.12265.0.v3512b5eb		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231030.12273.0.vb8deb9d2		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231031.12282.0.v59992d63		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231101.12294.0.v711c9aed		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231102.12295.0.v42581f29		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231102.12301.0.vac194220		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231103.12304.0.v6af384a8		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231106.12310.0.vae5e9fed		87b1a97b6267583cc99f657e0659a1156aed0319
com.daml	daml-lf-snapshot-java-proto	2.8.0-snapshot.20231107.12319.0.v03a51e65		45005435a706113f2f4ef2d77de13fc4a65e194a
